steam_id_hash,leetify_id,privacy_mode,winrate,total_matches,first_match_date,rank_leetify,rank_premier,rank_faceit,rank_faceit_elo,rank_wingman,rating_aim,rating_positioning,rating_utility,rating_clutch,rating_opening,rating_ct_leetify,rating_t_leetify,stat_accuracy_head,stat_accuracy_enemy_spotted,stat_preaim,stat_reaction_time_ms,stat_spray_accuracy,stat_counter_strafing_good_shots_ratio,stat_ct_opening_aggression_success_rate,stat_ct_opening_duel_success_percentage,stat_t_opening_aggression_success_rate,stat_t_opening_duel_success_percentage,stat_traded_deaths_success_percentage,stat_trade_kill_opportunities_per_round,stat_trade_kills_success_percentage,stat_he_foes_damage_avg,stat_flashbang_thrown,stat_flashbang_leading_to_kill,stat_utility_on_death_avg,recent_matches_count,ban_count
d52a3c915092392c,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df0e0c53a9b26bed,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d9f280a4eceb360,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02abf16262c14a04,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3de41e705a0defd4,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7cc271db2557a64,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0b52e15c73d7f1e8,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b70b7f24582f61f,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28dc80eb5ca58c4d,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a238bb5eb6e67ba,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845734045e091aff,34bb8634-4e41-4727-b728-48606abd8e89,public,0.5333,183,2020-11-04T01:57:57.000Z,2.34,25100,,,,59.8706,70.5402,62.7233,0.1555,0.0358,0.0146,0.0323,20.4694,31.3263,11.1285,634.3484,35.6592,77.5569,42.6354,58.8373,47.9207,55.1441,54.6545,0.3625,47.6349,8.7626,9.7884,11.2064,272.7334,100,0
5e5c9a5df7f46ce4,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01c76f7c8b03e37c,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82478318a411959c,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5c36353603dfa67,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c78610fba94c684,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f51a7d4fba1fc56,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b135823fc81c10dc,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a432d331aa97fca,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b4cd153821a2812,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fcb5dd2d8261d786,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0ac8b101f4b8803,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177e26faa6bc2705,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de0e207f2cbd6b0a,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03a11efffd4432b5,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d478cfc0b59afd75,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ed485ff1449bc8f,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9899b02198d4a24a,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf24f51938e428a5,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be06c6ecc124cd10,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b8c5341581a290,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ad55cb43f081d34,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcc5e9cd9bff525b,b2b675e4-7a1a-49ab-bd6e-c8b9eae46542,public,0.7241,1017,2020-02-01T20:39:42.000Z,1.41,24739,4,1000,,75.8036,52.7903,64.6772,0.1325,-0.0055,0.0039,0.0259,25.334,31.5886,9.9356,642.4736,32.0436,87.6605,27.7741,41.5942,48.0643,53.2817,50.1952,0.2572,46.392,7.5126,10.0575,8.5334,201.7143,100,0
55e375c3764619ec,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f0ba65636797774,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80959c1f2c2fef39,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7fc2d8a7489a316c,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7463e91facc002f,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43a5feafd9c4b77a,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eeb40dc00b0d2745,0fef9a38-7a08-4192-bd14-12c4f990c1cf,public,0.5667,243,2020-11-05T22:10:02.000Z,-0.69,18300,3,,,75.8036,51.5953,36.8315,0.1364,-0.0004,-0.0166,0.0027,22.4153,32.0586,9.5864,670.1776,36.5999,88.6271,39.2418,47.8884,17.4429,42.1272,48.1973,0.3106,51.0881,9.3245,19.6463,8.6246,263.9821,100,0
5d7591373f869485,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0adf55aa3f1b9e1c,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdd1df8222b936a7,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6200e2660436d22,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ffc3123c9611f402,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1fe9f53824c5f65c,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399e04b24904583b,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c685625e5ad8155f,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73570326ed1ee778,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8396168751732b37,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b1c8edd07a77fb4,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94ad7d436bc4672e,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3b137c758547486,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55d4e7f9a6c73c2c,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7cb7c89e78b0f45c,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332ca19045492974,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0de73b80fd5e06e1,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a04b12c4049abb85,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e01de04e5083cf3,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f82e389cb91cb45,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b46d6bb3d0a77d27,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbf23043ccb8a187,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3df36fe24494846c,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381baeebbaf5ec7e,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01d803f6dd479efb,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de94b29b6db1ed7b,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7f2b1675aeec2960,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c46e99a577d2183,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847c7e478a39e79,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e584888a9d18a11,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edcf5a0c3e70d533,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c84994941b0a83ee,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
