steam_id_hash,inventory_public,item_count_unique,item_count_total,marketable_count,total_usd,max_item_usd,items_priced
a3637dd7add62cf4,True,38,38,20,3.5900000000000003,2.99,4
43fee211fee88af8,True,73,86,76,16.63,2.34,14
39a6b6d43b6120d8,True,28,33,28,8.02,2.34,10
ba8fe3673a38b94a,True,47,54,45,4.2700000000000005,0.97,17
a9e5814371036bb5,True,11,11,9,0.97,0.53,3
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
3b5e1b9c92ddca64,False,0,0,0,0.0,0.0,0
