market_hash_name,price_usd,volume,source
P250 | Asiimov (Field-Tested),17.8,68,steam_market
Glove Case,18.93,1916,steam_market
Sealed Graffiti | Lambda (Monarch Blue),0.04,28,steam_market
M4A4 | Desolate Space (Field-Tested),19.9,159,steam_market
CZ75-Auto | Pole Position (Minimal Wear),3.45,32,steam_market
Chroma 3 Case,5.78,6886,steam_market
UMP-45 | Primal Saber (Factory New),40.63,2,steam_market
Sealed Graffiti | GTG (Monster Purple),0.05,37,steam_market
Sealed Graffiti | GGWP (Wire Blue),0.04,5,steam_market
Sealed Graffiti | Noscope (Princess Pink),0.03,47,steam_market
StatTrak™ SSG 08 | Slashed (Field-Tested),3.1,28,steam_market
Sealed Graffiti | Eat It (Monster Purple),0.05,94,steam_market
Sealed Graffiti | Jump Shot (Dust Brown),0.04,30,steam_market
Sealed Graffiti | Still Happy (Dust Brown),0.04,55,steam_market
Gamma 2 Case,5.01,4099,steam_market
Sealed Graffiti | 8-Ball (Cash Green),0.05,21,steam_market
MP9 | Ruby Poison Dart (Factory New),10.7,44,steam_market
Tec-9 | Isaac (Minimal Wear),7.13,22,steam_market
MP7 | Cirrus (Minimal Wear),1.95,86,steam_market
MAC-10 | Malachite (Minimal Wear),5.26,15,steam_market
Desert Eagle | Bronze Deco (Minimal Wear),0.53,124,steam_market
USP-S | Kill Confirmed (Minimal Wear),161.66,4,steam_market
Five-SeveN | Monkey Business (Field-Tested),17.84,52,steam_market
Operation Wildfire Case,6.48,1709,steam_market
Chroma 2 Case,6.87,4520,steam_market
Gamma Case,4.94,3460,steam_market
FAMAS | Pulse (Factory New),85.47,20,steam_market
SSG 08 | Sans Comic (Factory New),0.07,851,steam_market
MP7 | Just Smile (Field-Tested),0.8,684,steam_market
MP9 | Dizzy (Minimal Wear),0.03,341,steam_market
MAG-7 | Resupply (Well-Worn),0.11,414,steam_market
★ Butterfly Knife | Damascus Steel (Well-Worn),1099.83,0,steam_market
FAMAS | Grey Ghost (Minimal Wear),0.11,418,steam_market
"Music Kit | Denzel Curry, ULTIMATE",5.66,224,steam_market
R8 Revolver | Llama Cannon (Minimal Wear),14.86,14,steam_market
Desert Eagle | Printstream (Field-Tested),53.7,177,steam_market
Souvenir P90 | ScaraB Rush (Minimal Wear),21.75,0,steam_market
XM1014 | Solitude (Minimal Wear),5.79,18,steam_market
Galil AR | Rainbow Spoon (Field-Tested),54.0,32,steam_market
M249 | Sage Camo (Field-Tested),0.03,131,steam_market
Glock-18 | Ramese's Reach (Field-Tested),18.42,12,steam_market
AWP | Printstream (Field-Tested),75.0,134,steam_market
M4A4 | Desolate Space (Minimal Wear),35.1,44,steam_market
Primeiro Tenente | Brazilian 1st Battalion,78.39,21,steam_market
★ Hydra Gloves | Case Hardened (Field-Tested),101.17,19,steam_market
★ Nomad Knife | Damascus Steel (Minimal Wear),217.0,3,steam_market
AK-47 | Frontside Misty (Minimal Wear),45.84,28,steam_market
Sir Bloody Silent Darryl | The Professionals,64.78,50,steam_market
USP-S | Silent Shot (Minimal Wear),2.67,904,steam_market
PP-Bizon | Thermal Currents (Minimal Wear),0.03,777,steam_market
CZ75-Auto | Pink Pearl (Field-Tested),0.03,440,steam_market
MP9 | Bee-Tron (Field-Tested),0.03,711,steam_market
Sawed-Off | Spirit Board (Battle-Scarred),0.11,329,steam_market
Five-SeveN | Sky Blue (Minimal Wear),0.17,463,steam_market
M4A4 | Desert-Strike (Field-Tested),46.57,12,steam_market
Sealed Graffiti | Jump Shot (Brick Red),0.04,17,steam_market
FAMAS | Colony (Field-Tested),0.03,126,steam_market
Sealed Graffiti | Piggles (Monster Purple),0.1,74,steam_market
Dual Berettas | Ventilators (Field-Tested),0.47,57,steam_market
MP5-SD | Liquidation (Well-Worn),0.11,548,steam_market
SCAR-20 | Sand Mesh (Battle-Scarred),0.03,186,steam_market
Sealed Graffiti | Popdog (Desert Amber),0.04,45,steam_market
Sealed Graffiti | Heart (Monster Purple),0.24,218,steam_market
Dual Berettas | Stained (Well-Worn),0.15,49,steam_market
PP-Bizon | Sand Dashed (Battle-Scarred),0.04,18,steam_market
Sealed Graffiti | Lambda (Jungle Green),0.04,11,steam_market
UMP-45 | Urban DDPAT (Field-Tested),0.03,65,steam_market
UMP-45 | Facility Dark (Minimal Wear),0.03,169,steam_market
